MONTH,ID,YEAR,N_MONTHS,POINT_BALANCE,aspect,slope,t2m,tp,slhf,sshf,ssrd,fal,srt
nov,0,2011,7,1170,1.583332657814026,0.4800183475017547,258.6798779809498,0.7771080698286288,41898.02360642701,-1575253.301496956,226741.0811499548,1969174.3366853332,0.0006303344280081
dec,0,2011,7,1170,1.583332657814026,0.4800183475017547,256.3122154036644,0.7663290554370024,53251.76640776359,-914802.3620466026,299724.59174766904,653155.9978941903,0.0016599043641514
jan,0,2011,7,1170,1.583332657814026,0.4800183475017547,261.2514884417503,0.8401474241379513,98425.16861733794,-815778.0010071262,304729.17533151223,1099647.7760212405,0.0024783049676843
feb,0,2011,7,1170,1.583332657814026,0.4800183475017547,259.04037740885315,0.8185638526665666,80790.63192589954,-1604856.7381014149,301392.7862756168,4251782.666168189,0.0016737593656122
mar,0,2011,7,1170,1.583332657814026,0.4800183475017547,262.3337048518107,0.8384105213449877,53976.4733950831,-2223412.755573528,304312.1266995253,9368643.15245754,0.0044304268976525
apr,0,2011,7,1170,1.583332657814026,0.4800183475017547,271.3440361703428,0.7341835824231115,-231558.0796087468,-3250530.822089634,24055.44600430317,16353570.23582012,0.0024357844459596
may,0,2011,7,1170,1.583332657814026,0.4800183475017547,273.1860302591317,0.6769551896637771,-765183.9912715731,-3274767.553812583,-88964.73326415708,18727579.96191232,0.0041624042831855
nov,1,2011,12,-1880,1.583332657814026,0.4800183475017547,269.2356172055536,0.6435964389636251,-165851.31275845785,-2182556.5506691285,81191.10858651367,4521133.684494834,0.0034257004124046
dec,1,2011,12,-1880,1.583332657814026,0.4800183475017547,258.6798779809498,0.7771080698286288,41898.02360642701,-1575253.301496956,226741.0811499548,1969174.3366853332,0.0006303344280081
jan,1,2011,12,-1880,1.583332657814026,0.4800183475017547,256.3122154036644,0.7663290554370024,53251.76640776359,-914802.3620466026,299724.59174766904,653155.9978941903,0.0016599043641514
feb,1,2011,12,-1880,1.583332657814026,0.4800183475017547,261.2514884417503,0.8401474241379513,98425.16861733794,-815778.0010071262,304729.17533151223,1099647.7760212405,0.0024783049676843
mar,1,2011,12,-1880,1.583332657814026,0.4800183475017547,259.04037740885315,0.8185638526665666,80790.63192589954,-1604856.7381014149,301392.7862756168,4251782.666168189,0.0016737593656122
apr,1,2011,12,-1880,1.583332657814026,0.4800183475017547,262.3337048518107,0.8384105213449877,53976.4733950831,-2223412.755573528,304312.1266995253,9368643.15245754,0.0044304268976525
may,1,2011,12,-1880,1.583332657814026,0.4800183475017547,271.3440361703428,0.7341835824231115,-231558.0796087468,-3250530.822089634,24055.44600430317,16353570.23582012,0.0024357844459596
jun,1,2011,12,-1880,1.583332657814026,0.4800183475017547,273.1860302591317,0.6769551896637771,-765183.9912715731,-3274767.553812583,-88964.73326415708,18727579.96191232,0.0041624042831855
jul,1,2011,12,-1880,1.583332657814026,0.4800183475017547,278.43337950154137,0.3894083780198555,-1723488.197503548,-1759971.8211282864,-1119491.9029038807,15065053.20220347,0.008759398216165
aug,1,2011,12,-1880,1.583332657814026,0.4800183475017547,279.1795127796122,0.1375957870723448,-5118257.295103231,-4567797.191231898,-4419597.72781652,17822867.907863215,0.0038251066614142
sep,1,2011,12,-1880,1.583332657814026,0.4800183475017547,276.7824070219602,0.1357183994946563,-3417369.995864679,-3726609.4809332704,-3594675.533746357,12875463.99316375,0.0037104445803588
oct,1,2011,12,-1880,1.583332657814026,0.4800183475017547,274.78529764148374,0.2506988101200272,-1633866.1000717198,-2656904.014389697,-1668744.951230678,8190535.770497306,0.0034371666205101
nov,2,2012,8,1440,1.583332657814026,0.4800183475017547,269.5889353699529,0.7072105037559135,39723.90264446847,-1329423.594021333,225906.9838859809,1513785.0774724167,0.0039531459852594
dec,2,2012,8,1440,1.583332657814026,0.4800183475017547,262.5175451975144,0.8497259321873825,106155.37648207787,-1008806.2572291824,363533.03244167054,566607.772786228,0.0047553027939762
jan,2,2012,8,1440,1.583332657814026,0.4800183475017547,260.87662648683886,0.8377719541416924,77650.23498084862,-1191620.462225139,265526.6039247401,1107331.9642317593,0.0026049110155163
feb,2,2012,8,1440,1.583332657814026,0.4800183475017547,262.7049761749701,0.8267375128687477,99149.87560465652,-1060222.7523842952,285961.9868921001,3670615.3788778167,0.003443855241905
mar,2,2012,8,1440,1.583332657814026,0.4800183475017547,267.6586117400641,0.8396237990312491,8803.071185509674,-1974813.1359009969,241337.7832694978,8620445.879327971,0.0031476448658452
apr,2,2012,8,1440,1.583332657814026,0.4800183475017547,265.8891484126661,0.8371206155943312,-169957.98568660114,-2820848.1925442144,-29743.82752201194,16755574.608517844,0.0027998365533105
may,2,2012,8,1440,1.583332657814026,0.4800183475017547,271.6794011759819,0.7679765588215044,-363696.3202966452,-3603175.2686585374,-71448.69072070578,23353056.833686844,0.0022838571885612
jun,2,2012,8,1440,1.583332657814026,0.4800183475017547,275.1759583761041,0.5963935512960287,-448970.1758045564,-2679755.7900141915,-108983.0675995301,20632854.207162805,0.0032546628081636
nov,3,2012,11,70,1.583332657814026,0.4800183475017547,269.5889353699529,0.7072105037559135,39723.90264446847,-1329423.594021333,225906.9838859809,1513785.0774724167,0.0039531459852594
dec,3,2012,11,70,1.583332657814026,0.4800183475017547,262.5175451975144,0.8497259321873825,106155.37648207787,-1008806.2572291824,363533.03244167054,566607.772786228,0.0047553027939762
jan,3,2012,11,70,1.583332657814026,0.4800183475017547,260.87662648683886,0.8377719541416924,77650.23498084862,-1191620.462225139,265526.6039247401,1107331.9642317593,0.0026049110155163
feb,3,2012,11,70,1.583332657814026,0.4800183475017547,262.7049761749701,0.8267375128687477,99149.87560465652,-1060222.7523842952,285961.9868921001,3670615.3788778167,0.003443855241905
mar,3,2012,11,70,1.583332657814026,0.4800183475017547,267.6586117400641,0.8396237990312491,8803.071185509674,-1974813.1359009969,241337.7832694978,8620445.879327971,0.0031476448658452
apr,3,2012,11,70,1.583332657814026,0.4800183475017547,265.8891484126661,0.8371206155943312,-169957.98568660114,-2820848.1925442144,-29743.82752201194,16755574.608517844,0.0027998365533105
may,3,2012,11,70,1.583332657814026,0.4800183475017547,271.6794011759819,0.7679765588215044,-363696.3202966452,-3603175.2686585374,-71448.69072070578,23353056.833686844,0.0022838571885612
jun,3,2012,11,70,1.583332657814026,0.4800183475017547,275.1759583761041,0.5963935512960287,-448970.1758045564,-2679755.7900141915,-108983.0675995301,20632854.207162805,0.0032546628081636
jul,3,2012,11,70,1.583332657814026,0.4800183475017547,279.2585066781568,0.2934189560204899,-2553519.266979995,-2503000.7679489725,-1727965.8569728232,15151196.996352982,0.005505861666218
aug,3,2012,11,70,1.583332657814026,0.4800183475017547,279.65634867628114,0.1316954261138953,-3983366.152961104,-4204246.215387668,-2346866.02684144,12884765.905208062,0.0044332934496789
sep,3,2012,11,70,1.583332657814026,0.4800183475017547,273.282259190086,0.4514132534598395,-1252670.2247417336,-2661058.88268506,-726632.091572185,8339770.794164771,0.0030138724379472
oct,4,2013,8,960,1.583332657814026,0.4800183475017547,267.1063725766026,0.793761902490573,-67532.73147879727,-1532839.0209817956,72850.13594677486,4677244.0344559215,0.0029082877716421
nov,4,2013,8,960,1.583332657814026,0.4800183475017547,265.5580921651293,0.8418204702105853,57116.87034013402,-922246.501075794,129568.74989699828,1495990.115300687,0.0036292256062779
dec,4,2013,8,960,1.583332657814026,0.4800183475017547,256.4235249879772,0.7873506877694871,51319.21444157884,-942847.7230403004,238418.44284558925,677421.855401095,0.0017377790275348
jan,4,2013,8,960,1.583332657814026,0.4800183475017547,259.93516284145784,0.7933532194804639,70644.7341034282,-1299473.9183922606,317240.63429112046,1328960.1294614917,0.0013498389866307
feb,4,2013,8,960,1.583332657814026,0.4800183475017547,260.4802207414153,0.8047580297313199,59290.99130209163,-1597758.8380968366,241754.83190148463,4332264.426899424,0.0010622282666501
mar,4,2013,8,960,1.583332657814026,0.4800183475017547,259.3793330462444,0.7599178407159164,16533.279050249606,-3682117.766270429,178780.48847145704,11392820.09949186,0.0005892471822966
apr,4,2013,8,960,1.583332657814026,0.4800183475017547,266.2173321548012,0.7547326750251577,-344370.80063479487,-3809014.368791296,-113153.5539193994,17530868.755863458,0.0027644824116517
may,4,2013,8,960,1.583332657814026,0.4800183475017547,273.7942832779248,0.7303521792033391,-171165.83066546638,-2155376.787236965,-41004.140585659305,19380331.52884806,0.0050572462740887
oct,5,2013,12,-1550,1.583332657814026,0.4800183475017547,267.1063725766026,0.793761902490573,-67532.73147879727,-1532839.0209817956,72850.13594677486,4677244.0344559215,0.0029082877716421
nov,5,2013,12,-1550,1.583332657814026,0.4800183475017547,265.5580921651293,0.8418204702105853,57116.87034013402,-922246.501075794,129568.74989699828,1495990.115300687,0.0036292256062779
dec,5,2013,12,-1550,1.583332657814026,0.4800183475017547,256.4235249879772,0.7873506877694871,51319.21444157884,-942847.7230403004,238418.44284558925,677421.855401095,0.0017377790275348
jan,5,2013,12,-1550,1.583332657814026,0.4800183475017547,259.93516284145784,0.7933532194804639,70644.7341034282,-1299473.9183922606,317240.63429112046,1328960.1294614917,0.0013498389866307
feb,5,2013,12,-1550,1.583332657814026,0.4800183475017547,260.4802207414153,0.8047580297313199,59290.99130209163,-1597758.8380968366,241754.83190148463,4332264.426899424,0.0010622282666501
mar,5,2013,12,-1550,1.583332657814026,0.4800183475017547,259.3793330462444,0.7599178407159164,16533.279050249606,-3682117.766270429,178780.48847145704,11392820.09949186,0.0005892471822966
apr,5,2013,12,-1550,1.583332657814026,0.4800183475017547,266.2173321548012,0.7547326750251577,-344370.80063479487,-3809014.368791296,-113153.5539193994,17530868.755863458,0.0027644824116517
may,5,2013,12,-1550,1.583332657814026,0.4800183475017547,273.7942832779248,0.7303521792033391,-171165.83066546638,-2155376.787236965,-41004.140585659305,19380331.52884806,0.0050572462740887
jun,5,2013,12,-1550,1.583332657814026,0.4800183475017547,276.8262127293349,0.4582842365672981,-1536513.7947751516,-2805959.914485832,-904711.8574306078,19811859.36151252,0.0056425006461423
jul,5,2013,12,-1550,1.583332657814026,0.4800183475017547,281.7460963559598,0.1379661560502561,-5578687.801046801,-5241058.974592953,-3550051.330123754,18439220.6885386,0.0026775303335181
aug,5,2013,12,-1550,1.583332657814026,0.4800183475017547,279.6441405283243,0.1407375377125582,-3815958.8388903295,-4245275.539804373,-2276801.856667633,12566074.309950711,0.0050061260962849
sep,5,2013,12,-1550,1.583332657814026,0.4800183475017547,275.96158860344724,0.390723826458644,-1560187.556360918,-3270785.8050295277,-782099.559626448,9249740.450673703,0.002975173985591
oct,6,2014,8,1210,1.583332657814026,0.4800183475017547,271.7476231792704,0.4272115564549436,-268759.70495780744,-2526891.260647308,-209491.78790838225,4525986.855996214,0.003138567451095
nov,6,2014,8,1210,1.583332657814026,0.4800183475017547,264.94768476728507,0.816277782078769,45763.127538796514,-1073552.9548319168,244257.12369340635,1635923.2269238385,0.0033999014441671
dec,6,2014,8,1210,1.583332657814026,0.4800183475017547,264.36384804440576,0.8545407289002298,132727.96601712052,-888488.1961759725,362281.8865457097,528591.2626920771,0.0049779383346921
jan,6,2014,8,1210,1.583332657814026,0.4800183475017547,259.26227845112834,0.8288830986718203,60498.8362809578,-1096231.6109441048,216314.86535028132,1197924.498924205,0.0019948131925674
feb,6,2014,8,1210,1.583332657814026,0.4800183475017547,263.9365628659148,0.8382700365602629,91178.09874414372,-994610.4572200268,199215.8714388169,3730066.729769733,0.0032904947084934
mar,6,2014,8,1210,1.583332657814026,0.4800183475017547,266.21661402845075,0.8448217360660737,63156.09523446206,-2256478.5824241224,279289.20878030907,9550232.65280088,0.0037692088968997
apr,6,2014,8,1210,1.583332657814026,0.4800183475017547,269.73040626098265,0.8076315821461493,-102077.09787435364,-3318913.029450811,55751.14203531039,16971136.30937085,0.0020110569873835
may,6,2014,8,1210,1.583332657814026,0.4800183475017547,272.9224778885331,0.6603268996899647,-359348.0783727281,-3269920.2074679933,-106480.77580760838,20933346.40928997,0.0015251764189113
oct,7,2014,12,-2300,1.583332657814026,0.4800183475017547,271.7476231792704,0.4272115564549436,-268759.70495780744,-2526891.260647308,-209491.78790838225,4525986.855996214,0.003138567451095
nov,7,2014,12,-2300,1.583332657814026,0.4800183475017547,264.94768476728507,0.816277782078769,45763.127538796514,-1073552.9548319168,244257.12369340635,1635923.2269238385,0.0033999014441671
dec,7,2014,12,-2300,1.583332657814026,0.4800183475017547,264.36384804440576,0.8545407289002298,132727.96601712052,-888488.1961759725,362281.8865457097,528591.2626920771,0.0049779383346921
jan,7,2014,12,-2300,1.583332657814026,0.4800183475017547,259.26227845112834,0.8288830986718203,60498.8362809578,-1096231.6109441048,216314.86535028132,1197924.498924205,0.0019948131925674
feb,7,2014,12,-2300,1.583332657814026,0.4800183475017547,263.9365628659148,0.8382700365602629,91178.09874414372,-994610.4572200268,199215.8714388169,3730066.729769733,0.0032904947084934
mar,7,2014,12,-2300,1.583332657814026,0.4800183475017547,266.21661402845075,0.8448217360660737,63156.09523446206,-2256478.5824241224,279289.20878030907,9550232.65280088,0.0037692088968997
apr,7,2014,12,-2300,1.583332657814026,0.4800183475017547,269.73040626098265,0.8076315821461493,-102077.09787435364,-3318913.029450811,55751.14203531039,16971136.30937085,0.0020110569873835
may,7,2014,12,-2300,1.583332657814026,0.4800183475017547,272.9224778885331,0.6603268996899647,-359348.0783727281,-3269920.2074679933,-106480.77580760838,20933346.40928997,0.0015251764189113
jun,7,2014,12,-2300,1.583332657814026,0.4800183475017547,277.2499072760739,0.3417201792777545,-2656186.090183572,-4155772.75194177,-2340610.2973616347,21923797.826530144,0.0026952074043474
jul,7,2014,12,-2300,1.583332657814026,0.4800183475017547,284.3780294301943,0.1375574730401471,-6235513.900553919,-5413486.008850503,-2914886.263607648,18706549.552073,0.0059463551609392
aug,7,2014,12,-2300,1.583332657814026,0.4800183475017547,279.4775352150303,0.1372381894384994,-3955827.287442968,-3967938.081088917,-2463222.5951657947,12468606.448964642,0.0048092895238064
sep,7,2014,12,-2300,1.583332657814026,0.4800183475017547,277.7152531511363,0.2041983463760557,-2225951.708711642,-4107299.288495872,-1228341.5958524712,9247313.864923015,0.00212619682711
oct,8,2015,8,1460,1.583332657814026,0.4800183475017547,271.7756301069362,0.6372873949950665,-256198.11717760563,-1542360.594158668,-80623.76062441827,4009932.953016037,0.0051833745632497
nov,8,2015,8,1460,1.583332657814026,0.4800183475017547,267.16669519003665,0.791807886848489,9044.640181282535,-955312.3279263884,64509.16330703604,1326937.9746692495,0.0020545330264504
dec,8,2015,8,1460,1.583332657814026,0.4800183475017547,262.37176554838214,0.8378485822060878,94560.06468496752,-819067.2717409553,263858.4093967924,546386.2248638086,0.0026053887741874
jan,8,2015,8,1460,1.583332657814026,0.4800183475017547,262.55273338868426,0.8464564681065099,93593.78870187514,-996861.0108800147,263858.4093967924,1104905.3784810696,0.0039254359823377
feb,8,2015,8,1460,1.583332657814026,0.4800183475017547,263.9128646963514,0.8370439875299356,106880.08346939646,-1332020.3867059343,311401.95344330324,3804077.595165793,0.0026942518870053
mar,8,2015,8,1460,1.583332657814026,0.4800183475017547,265.6507304643316,0.8413734731682785,71611.01008652057,-2234492.4043611614,225072.88662200724,9508980.69503914,0.0034835092116033
apr,8,2015,8,1460,1.583332657814026,0.4800183475017547,267.5781815888187,0.8232509359387549,-114880.25465032924,-3363577.8636259595,138743.819800711,17612968.240428485,0.0018811066288541
may,8,2015,8,1460,1.583332657814026,0.4800183475017547,270.43488821073,0.7507097016443967,-781852.2519799192,-3530118.8344650785,-379647.6297590528,21529477.64204294,0.003272339878993
oct,9,2015,12,570,1.583332657814026,0.4800183475017547,271.7756301069362,0.6372873949950665,-256198.11717760563,-1542360.594158668,-80623.76062441827,4009932.953016037,0.0051833745632497
nov,9,2015,12,570,1.583332657814026,0.4800183475017547,267.16669519003665,0.791807886848489,9044.640181282535,-955312.3279263884,64509.16330703604,1326937.9746692495,0.0020545330264504
dec,9,2015,12,570,1.583332657814026,0.4800183475017547,262.37176554838214,0.8378485822060878,94560.06468496752,-819067.2717409553,263858.4093967924,546386.2248638086,0.0026053887741874
jan,9,2015,12,570,1.583332657814026,0.4800183475017547,262.55273338868426,0.8464564681065099,93593.78870187514,-996861.0108800147,263858.4093967924,1104905.3784810696,0.0039254359823377
feb,9,2015,12,570,1.583332657814026,0.4800183475017547,263.9128646963514,0.8370439875299356,106880.08346939646,-1332020.3867059343,311401.95344330324,3804077.595165793,0.0026942518870053
mar,9,2015,12,570,1.583332657814026,0.4800183475017547,265.6507304643316,0.8413734731682785,71611.01008652057,-2234492.4043611614,225072.88662200724,9508980.69503914,0.0034835092116033
apr,9,2015,12,570,1.583332657814026,0.4800183475017547,267.5781815888187,0.8232509359387549,-114880.25465032924,-3363577.8636259595,138743.819800711,17612968.240428485,0.0018811066288541
may,9,2015,12,570,1.583332657814026,0.4800183475017547,270.43488821073,0.7507097016443967,-781852.2519799192,-3530118.8344650785,-379647.6297590528,21529477.64204294,0.003272339878993
jun,9,2015,12,570,1.583332657814026,0.4800183475017547,274.6632161619149,0.6271724904948672,-554535.8269574111,-2577615.277753193,-185720.0158851268,21256082.31413181,0.0028433125923773
jul,9,2015,12,570,1.583332657814026,0.4800183475017547,278.97197426434514,0.3447469878213747,-1988730.9548624365,-1995414.357865503,-1205820.969725177,14723309.04231456,0.005483884767349
aug,9,2015,12,570,1.583332657814026,0.4800183475017547,280.5109190332632,0.1300096086971954,-4560474.483863092,-5350989.864907756,-2758075.97798056,15590409.01722796,0.0033960793747986
sep,9,2015,12,570,1.583332657814026,0.4800183475017547,276.753681967944,0.1481832313029826,-2100335.830909618,-2890788.475516152,-1339693.5805929836,7686210.365312132,0.0035241186986438
