short_name,full_name,sgi-id,rgi_id.v7,Issue
adler, Adler, B56/03,RGI2000-v7.0-G-11-01075,FALSE
albigna,Albigna,,RGI2000-v7.0-G-11-02309,TRUE
aletsch, Grosser Aletsch, B36/26,RGI2000-v7.0-G-11-02596,FALSE
allalin, Allalin, B52/29,RGI2000-v7.0-G-11-01182,FALSE
arolla, Arolla (Mont Collon), B73/14,RGI2000-v7.0-G-11-01247,FALSE
basodino, Basodino, C14/10,RGI2000-v7.0-G-11-02484,FALSE
bertol, Bertol, B73/07,RGI2000-v7.0-G-11-00897,TRUE
blauschnee,Blauschnee,,RGI2000-v7.0-G-11-02793,FALSE
cantun, Cantun, C84/09,RGI2000-v7.0-G-11-02146,FALSE
chessjen,Chessjen,,RGI2000-v7.0-G-11-01142,FALSE
claridenL, Clariden-Lower,,RGI2000-v7.0-G-11-01843,FALSE
claridenU, Clariden-Upper, A50I/19,RGI2000-v7.0-G-11-01838,FALSE
corbassiere, Corbassiere, B83/03,RGI2000-v7.0-G-11-00823,FALSE
corvatsch, Corvatsch, E23/18,RGI2000-v7.0-G-11-02103,FALSE
damma, Damma, A51F/10,RGI2000-v7.0-G-11-01719,FALSE
diablerets, Diablerets, B21/05,RGI2000-v7.0-G-11-01311,FALSE
diavolezza, Diavolezza, E21/08,RGI2000-v7.0-G-11-02238,TRUE
err, Err (Nord), A12I/03,RGI2000-v7.0-G-11-02090,FALSE
findelen, Findelen, B56/03,RGI2000-v7.0-G-11-01189,FALSE
forno, Forno, C83/12,RGI2000-v7.0-G-11-02143,FALSE
gietro, Gietro, B82/14,RGI2000-v7.0-G-11-00879,FALSE
gorner, Gorner, B56/07,RGI2000-v7.0-G-11-01225,FALSE
gries, Gries, B45/04,RGI2000-v7.0-G-11-02438,FALSE
gurschen, Gurschen, A51E/10,RGI2000-v7.0-G-11-02401,FALSE
hohlaub, Hohlaub, B52/32,RGI2000-v7.0-G-11-01144,FALSE
joeri,Joeri,,RGI2000-v7.0-G-11-02053,FALSE
limmern, Limmern, A50I/06,RGI2000-v7.0-G-11-01904,FALSE
misaun, Misaun, E23/03,RGI2000-v7.0-G-11-02211,FALSE
morteratsch, Morteratsch, E22/03,RGI2000-v7.0-G-11-02216,FALSE
murtel, Murtel, E23/16,RGI2000-v7.0-G-11-02105,FALSE
oberaar, Oberaar, A54G/03,RGI2000-v7.0-G-11-02622,FALSE
ofental, Ofental, B52/17,RGI2000-v7.0-G-11-01090,TRUE
orny, Orny, B85/23,RGI2000-v7.0-G-11-00744,FALSE
otemma, Otemma, B82/27,RGI2000-v7.0-G-11-00859,FALSE
pers, Pers, E22/03,RGI2000-v7.0-G-11-02216,FALSE
petitplanneve,Plan Neve-E,,RGI2000-v7.0-G-11-01317,FALSE
pizol, Pizol, A50D/01,RGI2000-v7.0-G-11-01932,FALSE
plainemorte, Plaine Morte, A55F/03,RGI2000-v7.0-G-11-01289,FALSE
planneve, Plan Neve, B93/06,RGI2000-v7.0-G-11-01327,FALSE
plattalva, Plattalva, A50I/07,RGI2000-v7.0-G-11-01907,FALSE
rhone, Rhone, B43/03,RGI2000-v7.0-G-11-01706,FALSE
rosatsch,Rosatch,,RGI2000-v7.0-G-11-02243,TRUE
sanktanna, Sankt Anna, A51E/12,RGI2000-v7.0-G-11-02402,FALSE
sardona, Sardona, A15B/05,RGI2000-v7.0-G-11-01929,FALSE
schwarzbach, Schwarzbach, A51E/08,RGI2000-v7.0-G-11-02401,FALSE
schwarzberg, Schwarzberg, B52/24,RGI2000-v7.0-G-11-01084,FALSE
segnes,Segnas,,RGI2000-v7.0-G-11-01926,TRUE
sexrouge, Sex Rouge, B16/01,RGI2000-v7.0-G-11-01309,FALSE
silvretta, Silvretta, A10G/05,RGI2000-v7.0-G-11-01949,FALSE
taelliboden, Taelliboden, B52/20,RGI2000-v7.0-G-11-01087,FALSE
tiefen, Tiefen, A51E/37,RGI2000-v7.0-G-11-01717,FALSE
tortin,Tortin,,RGI2000-v7.0-G-11-01039,FALSE
tsanfleuron, Tsanfleuron, B22/01,RGI2000-v7.0-G-11-01303,FALSE
untgrindelwald,Fieschergletscher,,RGI2000-v7.0-G-11-01581,FALSE
unteraar, Unteraar, A54G/11,RGI2000-v7.0-G-11-02645,FALSE
vorab, Vorab, A14P/01,RGI2000-v7.0-G-11-01925,FALSE
witenwasseren, Witenwasseren,  A51E/20,RGI2000-v7.0-G-11-02407,FALSE